split,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,0.01,14426,105,0.0072785248856231805,0.008279451190663933,0.8279192924128802
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,0.05,72128,330,0.004575199645075421,0.02602113231351522,0.5204208424540115
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,0.001,1443,126,0.08731808731808732,0.009935341428796719,9.932277515466287
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,0.005,7213,276,0.03826424511299043,0.02176312884403091,4.352489994399141
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,0.01,14426,675,0.0467905171218633,0.053225043368553854,5.322338308368516
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,0.05,72128,6358,0.08814884649511978,0.5013404825737265,10.02677489794729
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.001,1443,0,0.0,0.0,0.0
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.005,7213,38,0.005268265631498683,0.002996372811859328,0.5992558687940847
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,14426,178,0.012338832663246915,0.014035641066077905,1.4035203242808827
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,72128,636,0.008817657497781722,0.050149818640592966,1.0029928963659132
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.001,1443,0,0.0,0.0,0.0
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.005,7213,0,0.0,0.0,0.0
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,14426,0,0.0,0.0,0.0
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,72128,221,0.003063997338065661,0.01742627345844504,0.34852426115859564
